,neighbourhood_group,price,minimum_nights,number_of_reviews,price_category,availability_365
1595,Brooklyn,168,2,158,Medium,253
40782,Manhattan,167,5,13,Medium,91
730,Manhattan,167,30,16,Medium,252
41313,Brooklyn,167,2,20,Medium,284
1503,Manhattan,167,5,32,Medium,341
9889,Manhattan,167,30,44,Medium,188
6994,Brooklyn,167,2,59,Medium,0
35425,Manhattan,167,2,60,Medium,164
24599,Brooklyn,167,2,102,Medium,294
41682,Brooklyn,166,1,11,Medium,177
1946,Manhattan,166,1,15,Medium,188
11424,Brooklyn,166,1,16,Medium,0
4671,Manhattan,166,14,18,Medium,48
12304,Manhattan,166,3,54,Medium,0
354,Brooklyn,165,4,11,Medium,365
2196,Manhattan,165,60,11,Medium,311
6674,Manhattan,165,2,11,Medium,0
6859,Manhattan,165,30,11,Medium,274
26695,Manhattan,165,2,11,Medium,2
34238,Manhattan,165,2,11,Medium,2
41905,Brooklyn,165,2,11,Medium,269
904,Brooklyn,165,3,12,Medium,343
25125,Brooklyn,165,4,12,Medium,0
42466,Manhattan,165,1,12,Medium,75
8659,Brooklyn,165,2,13,Medium,0
16521,Manhattan,165,1,13,Medium,0
17163,Manhattan,165,2,13,Medium,0
40793,Brooklyn,165,2,13,Medium,273
13822,Brooklyn,165,30,14,Medium,330
16928,Manhattan,165,3,14,Medium,10
27278,Manhattan,165,3,14,Medium,0
6193,Brooklyn,165,3,15,Medium,158
43664,Manhattan,165,1,15,Medium,27
7059,Manhattan,165,30,16,Medium,326
34208,Brooklyn,165,2,16,Medium,29
43148,Manhattan,165,1,16,Medium,56
43144,Manhattan,165,1,17,Medium,83
41147,Brooklyn,165,2,18,Medium,61
1244,Manhattan,165,30,19,Medium,259
14910,Brooklyn,165,1,19,Medium,0
37355,Brooklyn,165,2,19,Medium,102
1996,Manhattan,165,2,21,Medium,347
2485,Manhattan,165,3,21,Medium,363
22833,Brooklyn,165,2,21,Medium,146
1157,Manhattan,165,5,22,Medium,316
18259,Manhattan,165,2,22,Medium,0
26608,Manhattan,165,3,22,Medium,0
393,Brooklyn,165,2,23,Medium,7
4426,Brooklyn,165,8,23,Medium,297
5869,Manhattan,165,3,23,Medium,0
21561,Brooklyn,165,2,23,Medium,182
42738,Manhattan,165,1,23,Medium,102
39059,Brooklyn,165,1,24,Medium,213
1316,Manhattan,165,3,25,Medium,0
4776,Manhattan,165,2,25,Medium,0
10981,Manhattan,165,5,25,Medium,70
34688,Brooklyn,165,5,25,Medium,127
6636,Brooklyn,165,5,26,Medium,0
447,Brooklyn,165,1,27,Medium,311
1531,Manhattan,165,30,27,Medium,128
29758,Manhattan,165,2,27,Medium,0
8110,Brooklyn,165,6,30,Medium,0
11367,Manhattan,165,10,31,Medium,55
16814,Manhattan,165,1,31,Medium,358
27242,Brooklyn,165,3,32,Medium,10
20771,Brooklyn,165,3,33,Medium,305
31420,Manhattan,165,3,33,Medium,192
329,Brooklyn,165,30,34,Medium,189
17604,Manhattan,165,3,34,Medium,0
22504,Manhattan,165,7,35,Medium,269
5843,Brooklyn,165,10,36,Medium,328
12932,Brooklyn,165,3,36,Medium,274
2032,Brooklyn,165,4,37,Medium,343
28074,Brooklyn,165,3,37,Medium,82
37612,Brooklyn,165,3,37,Medium,34
9727,Manhattan,165,4,38,Medium,0
6258,Manhattan,165,2,40,Medium,0
1694,Brooklyn,165,1,41,Medium,19
23113,Brooklyn,165,4,41,Medium,170
12290,Manhattan,165,5,42,Medium,281
31113,Manhattan,165,2,42,Medium,81
32717,Brooklyn,165,1,42,Medium,133
7740,Manhattan,165,6,46,Medium,3
16296,Manhattan,165,7,49,Medium,64
33045,Brooklyn,165,2,49,Medium,191
11776,Brooklyn,165,2,53,Medium,289
30209,Manhattan,165,4,53,Medium,0
21384,Brooklyn,165,3,55,Medium,171
34830,Brooklyn,165,3,55,Medium,37
1402,Manhattan,165,7,57,Medium,32
19021,Manhattan,165,3,57,Medium,157
7555,Manhattan,165,3,58,Medium,138
13654,Brooklyn,165,1,58,Medium,287
14576,Manhattan,165,3,60,Medium,278
31252,Manhattan,165,2,61,Medium,59
518,Manhattan,165,1,63,Medium,0
22813,Brooklyn,165,4,67,Medium,74
32281,Manhattan,165,1,67,Medium,38
10401,Manhattan,165,3,68,Medium,195
971,Manhattan,165,2,70,Medium,15
804,Manhattan,165,2,72,Medium,10
7041,Manhattan,165,4,72,Medium,0
25563,Brooklyn,165,3,72,Medium,226
7759,Brooklyn,165,4,73,Medium,237
7412,Brooklyn,165,1,75,Medium,365
177,Manhattan,165,3,80,Medium,231
2720,Brooklyn,165,2,80,Medium,188
24067,Brooklyn,165,3,82,Medium,247
10553,Manhattan,165,7,86,Medium,99
14585,Manhattan,165,2,90,Medium,35
20739,Brooklyn,165,2,92,Medium,127
21096,Brooklyn,165,1,108,Medium,130
22559,Brooklyn,165,2,109,Medium,246
15371,Manhattan,165,3,110,Medium,222
448,Brooklyn,165,5,117,Medium,23
10143,Brooklyn,165,3,120,Medium,170
14308,Brooklyn,165,4,123,Medium,43
10622,Brooklyn,165,2,129,Medium,235
2470,Brooklyn,165,3,130,Medium,0
5292,Brooklyn,165,4,138,Medium,322
14773,Manhattan,165,1,141,Medium,262
3633,Manhattan,165,3,142,Medium,301
6110,Manhattan,165,2,146,Medium,277
168,Brooklyn,165,2,150,Medium,342
21396,Manhattan,165,1,152,Medium,228
8877,Manhattan,165,1,153,Medium,271
1109,Brooklyn,165,30,154,Medium,157
4676,Manhattan,165,3,159,Medium,75
7594,Manhattan,165,1,166,Medium,210
11976,Brooklyn,165,2,166,Medium,8
4605,Brooklyn,165,2,172,Medium,264
5222,Brooklyn,165,3,173,Medium,297
402,Brooklyn,165,2,175,Medium,139
9663,Brooklyn,165,3,178,Medium,134
1416,Brooklyn,165,2,179,Medium,0
13589,Manhattan,165,1,188,Medium,328
431,Manhattan,165,2,191,Medium,236
11877,Manhattan,165,1,193,Medium,213
12078,Brooklyn,165,5,201,Medium,212
23944,Manhattan,165,1,202,Medium,217
768,Brooklyn,165,3,204,Medium,80
13513,Brooklyn,165,1,216,Medium,194
11671,Brooklyn,165,1,232,Medium,231
1704,Manhattan,165,3,276,Medium,146
2140,Manhattan,165,3,281,Medium,177
1351,Manhattan,165,1,321,Medium,185
26169,Manhattan,164,2,11,Medium,18
21073,Manhattan,164,3,20,Medium,0
25376,Manhattan,164,2,85,Medium,0
19807,Manhattan,164,1,141,Medium,209
19808,Manhattan,164,1,143,Medium,221
3425,Brooklyn,164,1,200,Medium,208
30587,Manhattan,163,1,11,Medium,221
7750,Manhattan,163,3,12,Medium,0
21985,Brooklyn,163,5,12,Medium,192
16735,Brooklyn,163,3,16,Medium,154
33122,Brooklyn,163,3,20,Medium,309
24399,Manhattan,163,6,25,Medium,266
10486,Manhattan,163,1,30,Medium,188
18622,Brooklyn,163,2,33,Medium,255
8035,Brooklyn,163,30,37,Medium,186
6157,Brooklyn,163,4,58,Medium,132
7884,Manhattan,163,2,396,Medium,143
2656,Brooklyn,162,2,11,Medium,0
3353,Manhattan,162,2,18,Medium,247
18446,Manhattan,162,5,22,Medium,156
14195,Brooklyn,162,30,26,Medium,18
14232,Brooklyn,162,3,37,Medium,22
34328,Brooklyn,162,3,38,Medium,314
23990,Brooklyn,162,2,46,Medium,19
3861,Brooklyn,162,1,75,Medium,103
4519,Brooklyn,162,2,123,Medium,282
44015,Manhattan,161,2,13,Medium,294
41846,Manhattan,161,30,18,Medium,204
12003,Brooklyn,161,2,21,Medium,2
17063,Manhattan,161,1,27,Medium,0
22035,Brooklyn,161,2,45,Medium,270
26193,Manhattan,161,3,92,Medium,63
145,Brooklyn,160,3,11,Medium,188
4731,Manhattan,160,4,11,Medium,1
20162,Brooklyn,160,2,11,Medium,0
22248,Brooklyn,160,3,11,Medium,0
22582,Brooklyn,160,5,11,Medium,0
27513,Brooklyn,160,3,11,Medium,14
32183,Manhattan,160,2,11,Medium,9
37659,Manhattan,160,2,11,Medium,0
42616,Manhattan,160,2,11,Medium,90
42897,Manhattan,160,1,11,Medium,21
18449,Manhattan,160,3,12,Medium,5
19564,Brooklyn,160,3,12,Medium,0
26712,Manhattan,160,4,12,Medium,0
27214,Manhattan,160,1,12,Medium,0
41861,Brooklyn,160,2,12,Medium,71
2067,Manhattan,160,7,13,Medium,335
2789,Brooklyn,160,30,13,Medium,252
4384,Manhattan,160,2,13,Medium,0
5622,Manhattan,160,5,13,Medium,0
16114,Brooklyn,160,3,13,Medium,0
41180,Brooklyn,160,3,13,Medium,252
45471,Brooklyn,160,1,13,Medium,120
10351,Brooklyn,160,2,14,Medium,0
20856,Manhattan,160,5,14,Medium,92
35167,Brooklyn,160,2,14,Medium,45
36442,Manhattan,160,2,14,Medium,170
38191,Manhattan,160,3,14,Medium,0
40277,Manhattan,160,5,14,Medium,205
1200,Manhattan,160,1,15,Medium,0
5078,Manhattan,160,30,15,Medium,333
21849,Manhattan,160,3,15,Medium,0
28573,Brooklyn,160,5,15,Medium,83
42621,Brooklyn,160,2,15,Medium,71
43082,Manhattan,160,1,15,Medium,9
1278,Manhattan,160,4,16,Medium,0
7071,Brooklyn,160,4,16,Medium,0
13958,Brooklyn,160,5,16,Medium,11
19698,Manhattan,160,45,16,Medium,345
31582,Manhattan,160,1,16,Medium,0
1602,Brooklyn,160,1,17,Medium,0
19697,Manhattan,160,45,17,Medium,281
21532,Brooklyn,160,2,17,Medium,3
34175,Manhattan,160,2,17,Medium,0
34707,Manhattan,160,1,17,Medium,5
4118,Manhattan,160,10,18,Medium,281
9232,Manhattan,160,1,18,Medium,180
18682,Brooklyn,160,2,18,Medium,0
22412,Brooklyn,160,1,18,Medium,2
22457,Brooklyn,160,2,18,Medium,358
1804,Brooklyn,160,30,19,Medium,59
2968,Brooklyn,160,2,19,Medium,0
14551,Manhattan,160,4,19,Medium,343
37547,Brooklyn,160,2,19,Medium,0
6383,Manhattan,160,14,20,Medium,43
15023,Manhattan,160,3,20,Medium,0
24814,Manhattan,160,3,20,Medium,0
26005,Brooklyn,160,3,20,Medium,136
31191,Brooklyn,160,5,20,Medium,0
31815,Manhattan,160,2,20,Medium,6
36404,Brooklyn,160,2,20,Medium,364
37919,Manhattan,160,5,20,Medium,0
13082,Manhattan,160,13,21,Medium,0
18570,Manhattan,160,3,21,Medium,3
21497,Brooklyn,160,4,21,Medium,189
36500,Brooklyn,160,2,21,Medium,335
21522,Manhattan,160,4,22,Medium,0
27963,Manhattan,160,1,22,Medium,23
35961,Brooklyn,160,2,22,Medium,48
39531,Brooklyn,160,3,22,Medium,110
40881,Brooklyn,160,1,22,Medium,237
41071,Brooklyn,160,2,22,Medium,289
43181,Manhattan,160,1,22,Medium,77
23945,Brooklyn,160,2,23,Medium,30
29872,Manhattan,160,4,23,Medium,102
2041,Manhattan,160,3,24,Medium,352
2546,Brooklyn,160,3,24,Medium,365
546,Manhattan,160,30,25,Medium,46
896,Brooklyn,160,3,25,Medium,0
2662,Brooklyn,160,30,25,Medium,363
3632,Manhattan,160,3,25,Medium,0
9391,Manhattan,160,10,25,Medium,1
21434,Manhattan,160,5,25,Medium,0
32821,Manhattan,160,5,25,Medium,0
41835,Manhattan,160,1,25,Medium,29
9853,Manhattan,160,1,26,Medium,0
8814,Brooklyn,160,3,27,Medium,193
37452,Manhattan,160,1,27,Medium,302
26762,Manhattan,160,2,30,Medium,162
39575,Manhattan,160,3,30,Medium,73
2384,Brooklyn,160,2,31,Medium,0
21638,Manhattan,160,3,31,Medium,136
25627,Manhattan,160,4,32,Medium,39
28060,Brooklyn,160,3,32,Medium,3
30026,Manhattan,160,4,32,Medium,0
15640,Brooklyn,160,4,33,Medium,1
37958,Brooklyn,160,2,33,Medium,246
29142,Brooklyn,160,2,34,Medium,272
12420,Brooklyn,160,2,35,Medium,8
23191,Manhattan,160,7,35,Medium,7
38918,Brooklyn,160,1,35,Medium,269
1018,Manhattan,160,1,36,Medium,365
4693,Brooklyn,160,30,36,Medium,228
7710,Manhattan,160,30,36,Medium,0
15117,Manhattan,160,3,36,Medium,318
21017,Brooklyn,160,30,36,Medium,53
30052,Manhattan,160,3,36,Medium,266
28512,Brooklyn,160,3,37,Medium,71
10010,Brooklyn,160,3,38,Medium,249
28471,Brooklyn,160,3,38,Medium,2
32066,Brooklyn,160,2,39,Medium,246
9162,Brooklyn,160,4,40,Medium,138
20853,Manhattan,160,3,40,Medium,124
20058,Manhattan,160,1,41,Medium,273
524,Brooklyn,160,3,42,Medium,355
2851,Manhattan,160,2,44,Medium,0
4339,Brooklyn,160,1,44,Medium,279
5617,Brooklyn,160,30,44,Medium,226
36347,Manhattan,160,2,44,Medium,275
21889,Brooklyn,160,1,45,Medium,303
21975,Brooklyn,160,2,45,Medium,0
12361,Brooklyn,160,7,46,Medium,254
31639,Brooklyn,160,3,46,Medium,270
17187,Manhattan,160,2,48,Medium,40
27181,Manhattan,160,4,48,Medium,327
31131,Manhattan,160,3,48,Medium,203
31985,Manhattan,160,31,48,Medium,117
14207,Manhattan,160,3,50,Medium,4
31694,Manhattan,160,2,50,Medium,325
36134,Brooklyn,160,2,51,Medium,15
38199,Manhattan,160,1,51,Medium,25
12608,Brooklyn,160,3,52,Medium,291
24013,Brooklyn,160,2,52,Medium,9
27993,Manhattan,160,3,52,Medium,27
32367,Brooklyn,160,3,52,Medium,37
7416,Manhattan,160,2,53,Medium,0
10383,Manhattan,160,2,53,Medium,344
24712,Brooklyn,160,3,53,Medium,294
27977,Brooklyn,160,2,53,Medium,230
7374,Brooklyn,160,1,54,Medium,10
7542,Manhattan,160,2,57,Medium,129
16450,Manhattan,160,4,57,Medium,31
18097,Brooklyn,160,3,57,Medium,314
10784,Brooklyn,160,2,59,Medium,304
22204,Brooklyn,160,5,59,Medium,243
23099,Brooklyn,160,3,59,Medium,88
28138,Brooklyn,160,2,59,Medium,81
34614,Brooklyn,160,2,59,Medium,23
8367,Brooklyn,160,2,64,Medium,341
3665,Manhattan,160,6,65,Medium,7
19487,Brooklyn,160,2,68,Medium,48
20977,Brooklyn,160,4,68,Medium,16
21405,Manhattan,160,1,68,Medium,19
32535,Manhattan,160,1,68,Medium,33
2221,Manhattan,160,5,70,Medium,0
9061,Brooklyn,160,1,70,Medium,356
12785,Brooklyn,160,2,70,Medium,342
23968,Brooklyn,160,2,72,Medium,236
19750,Manhattan,160,1,73,Medium,229
5463,Manhattan,160,4,75,Medium,8
26945,Manhattan,160,3,77,Medium,88
5878,Manhattan,160,2,79,Medium,108
11142,Brooklyn,160,5,79,Medium,271
1461,Manhattan,160,2,83,Medium,105
5994,Brooklyn,160,3,87,Medium,302
19617,Manhattan,160,3,90,Medium,147
21569,Brooklyn,160,2,91,Medium,101
19479,Brooklyn,160,2,97,Medium,68
19070,Manhattan,160,5,102,Medium,118
7848,Brooklyn,160,2,105,Medium,18
29144,Manhattan,160,2,107,Medium,49
7239,Brooklyn,160,1,111,Medium,253
22227,Brooklyn,160,4,115,Medium,80
17724,Manhattan,160,30,122,Medium,179
1013,Brooklyn,160,5,125,Medium,169
19739,Brooklyn,160,2,127,Medium,270
19326,Brooklyn,160,2,129,Medium,220
30738,Manhattan,160,2,129,Medium,3
18216,Brooklyn,160,2,130,Medium,69
24862,Brooklyn,160,2,130,Medium,123
7505,Brooklyn,160,3,134,Medium,338
22640,Manhattan,160,1,141,Medium,90
12106,Manhattan,160,2,143,Medium,215
1022,Brooklyn,160,1,145,Medium,257
1732,Manhattan,160,1,148,Medium,295
10176,Brooklyn,160,5,148,Medium,149
5911,Brooklyn,160,3,149,Medium,303
9478,Manhattan,160,1,150,Medium,238
2033,Brooklyn,160,5,152,Medium,281
4525,Brooklyn,160,2,156,Medium,307
3166,Manhattan,160,3,158,Medium,188
7465,Manhattan,160,1,169,Medium,238
1928,Manhattan,160,1,187,Medium,221
14495,Brooklyn,160,2,205,Medium,6
7238,Manhattan,160,1,210,Medium,265
2686,Manhattan,160,3,220,Medium,24
6042,Brooklyn,160,1,323,Medium,211
4870,Brooklyn,160,1,488,Medium,269
2945,Brooklyn,159,3,11,Medium,77
20484,Manhattan,159,3,11,Medium,0
34812,Brooklyn,159,1,11,Medium,262
16655,Manhattan,159,30,12,Medium,0
17968,Manhattan,159,2,12,Medium,0
20888,Brooklyn,159,5,12,Medium,0
30314,Brooklyn,159,3,12,Medium,285
32143,Manhattan,159,4,12,Medium,31
41021,Brooklyn,159,1,12,Medium,259
7259,Manhattan,159,2,13,Medium,10
15329,Brooklyn,159,2,13,Medium,317
7538,Manhattan,159,30,14,Medium,265
9432,Brooklyn,159,3,14,Medium,31
3190,Brooklyn,159,1,15,Medium,194
21516,Manhattan,159,2,15,Medium,33
43192,Manhattan,159,1,15,Medium,152
2239,Manhattan,159,5,16,Medium,0
6700,Manhattan,159,2,16,Medium,0
42403,Brooklyn,159,3,16,Medium,10
43578,Brooklyn,159,2,16,Medium,127
15528,Manhattan,159,1,17,Medium,155
33898,Brooklyn,159,3,20,Medium,258
12216,Manhattan,159,30,21,Medium,141
9522,Manhattan,159,5,22,Medium,22
36709,Manhattan,159,2,26,Medium,343
37979,Manhattan,159,2,29,Medium,209
6789,Brooklyn,159,3,30,Medium,0
7731,Brooklyn,159,3,30,Medium,254
34949,Manhattan,159,3,31,Medium,358
898,Manhattan,159,2,32,Medium,7
19829,Brooklyn,159,2,32,Medium,0
28302,Brooklyn,159,3,32,Medium,56
21319,Manhattan,159,8,33,Medium,8
25904,Brooklyn,159,3,36,Medium,2
19747,Manhattan,159,6,39,Medium,351
6830,Manhattan,159,4,40,Medium,267
29188,Manhattan,159,4,42,Medium,242
3911,Manhattan,159,2,43,Medium,25
27308,Brooklyn,159,2,44,Medium,352
4917,Manhattan,159,4,45,Medium,87
14502,Manhattan,159,2,47,Medium,361
31604,Brooklyn,159,2,49,Medium,336
27983,Brooklyn,159,4,50,Medium,89
27310,Brooklyn,159,2,51,Medium,357
32605,Brooklyn,159,1,52,Medium,110
34724,Manhattan,159,2,58,Medium,124
2122,Manhattan,159,4,65,Medium,1
30919,Manhattan,159,1,67,Medium,0
22339,Brooklyn,159,1,73,Medium,166
30101,Manhattan,159,1,77,Medium,50
976,Brooklyn,159,2,106,Medium,34
2763,Manhattan,159,2,114,Medium,46
10615,Manhattan,159,1,126,Medium,338
7392,Brooklyn,159,4,142,Medium,24
6089,Manhattan,159,2,150,Medium,54
10601,Manhattan,159,3,170,Medium,37
11741,Manhattan,159,1,188,Medium,157
5791,Manhattan,159,1,202,Medium,234
219,Brooklyn,159,2,222,Medium,279
1751,Manhattan,159,2,260,Medium,141
4679,Brooklyn,158,3,12,Medium,0
42221,Manhattan,158,1,16,Medium,70
4756,Brooklyn,158,4,17,Medium,0
31157,Manhattan,158,2,20,Medium,2
34927,Manhattan,158,2,21,Medium,18
2303,Manhattan,158,4,37,Medium,314
1782,Manhattan,158,5,39,Medium,0
30418,Manhattan,158,1,46,Medium,106
19845,Brooklyn,158,4,61,Medium,264
21910,Manhattan,158,3,61,Medium,62
5643,Brooklyn,158,3,87,Medium,204
25033,Brooklyn,158,2,97,Medium,28
21106,Manhattan,158,1,132,Medium,238
23425,Manhattan,158,1,138,Medium,142
16082,Manhattan,158,2,145,Medium,193
16936,Manhattan,157,1,11,Medium,0
33835,Manhattan,157,5,11,Medium,0
22231,Manhattan,157,2,13,Medium,18
826,Brooklyn,157,4,54,Medium,12
25298,Brooklyn,157,3,70,Medium,223
40415,Manhattan,156,1,21,Medium,46
32440,Brooklyn,156,1,29,Medium,4
40174,Brooklyn,156,2,30,Medium,21
2804,Manhattan,156,2,31,Medium,3
150,Manhattan,156,4,79,Medium,307
27046,Manhattan,156,3,86,Medium,68
34221,Manhattan,155,3,11,Medium,84
46009,Manhattan,155,1,11,Medium,163
15530,Manhattan,155,5,12,Medium,2
34572,Brooklyn,155,1,12,Medium,6
35875,Brooklyn,155,2,12,Medium,0
1702,Brooklyn,155,3,13,Medium,0
2871,Manhattan,155,4,13,Medium,0
31034,Brooklyn,155,2,13,Medium,53
34932,Manhattan,155,1,13,Medium,312
4677,Manhattan,155,2,14,Medium,172
37489,Manhattan,155,5,14,Medium,29
30333,Brooklyn,155,1,16,Medium,14
32360,Manhattan,155,1,16,Medium,301
1124,Manhattan,155,6,17,Medium,0
7031,Manhattan,155,30,17,Medium,316
11245,Manhattan,155,3,17,Medium,0
34892,Brooklyn,155,1,17,Medium,118
1643,Manhattan,155,5,18,Medium,90
29636,Manhattan,155,4,18,Medium,0
39706,Manhattan,155,2,18,Medium,123
40095,Manhattan,155,3,18,Medium,70
17049,Brooklyn,155,3,19,Medium,0
18772,Brooklyn,155,7,19,Medium,333
2079,Brooklyn,155,2,20,Medium,0
3672,Manhattan,155,1,21,Medium,0
1854,Brooklyn,155,5,22,Medium,189
8067,Manhattan,155,5,22,Medium,362
26800,Manhattan,155,2,22,Medium,7
4180,Brooklyn,155,28,23,Medium,336
4230,Manhattan,155,5,24,Medium,88
13334,Brooklyn,155,2,24,Medium,0
21692,Manhattan,155,20,25,Medium,62
32302,Brooklyn,155,3,26,Medium,67
22271,Manhattan,155,3,27,Medium,0
18029,Manhattan,155,2,29,Medium,8
18430,Brooklyn,155,4,31,Medium,24
23723,Manhattan,155,4,35,Medium,157
8541,Manhattan,155,2,36,Medium,164
4340,Brooklyn,155,2,42,Medium,0
4396,Manhattan,155,4,44,Medium,341
4565,Brooklyn,155,3,44,Medium,363
19522,Brooklyn,155,4,44,Medium,98
36613,Manhattan,155,1,50,Medium,8
21353,Brooklyn,155,3,53,Medium,110
7593,Brooklyn,155,4,58,Medium,3
26723,Manhattan,155,1,58,Medium,304
26413,Manhattan,155,1,62,Medium,307
1325,Brooklyn,155,30,63,Medium,249
1675,Manhattan,155,5,63,Medium,235
28039,Brooklyn,155,3,64,Medium,287
1524,Brooklyn,155,3,66,Medium,309
21793,Manhattan,155,1,67,Medium,189
13759,Brooklyn,155,3,71,Medium,302
3871,Manhattan,155,1,75,Medium,0
17841,Manhattan,155,14,75,Medium,34
10189,Brooklyn,155,5,80,Medium,256
29535,Manhattan,155,1,80,Medium,21
1615,Manhattan,155,181,82,Medium,188
30933,Brooklyn,155,1,82,Medium,302
7869,Manhattan,155,5,87,Medium,99
16516,Brooklyn,155,2,94,Medium,218
2489,Brooklyn,155,2,114,Medium,314
8987,Brooklyn,155,2,114,Medium,250
8398,Manhattan,155,3,116,Medium,247
19948,Brooklyn,155,2,122,Medium,59
2830,Manhattan,155,1,123,Medium,170
2403,Brooklyn,155,4,125,Medium,297
12182,Brooklyn,155,4,128,Medium,0
16087,Brooklyn,155,30,132,Medium,83
12507,Brooklyn,155,1,138,Medium,225
17734,Manhattan,155,2,138,Medium,232
9941,Brooklyn,155,2,139,Medium,235
14039,Brooklyn,155,2,156,Medium,223
14139,Brooklyn,155,3,161,Medium,251
8853,Manhattan,155,1,176,Medium,248
8861,Manhattan,155,1,179,Medium,243
10816,Brooklyn,155,2,188,Medium,262
8878,Manhattan,155,1,189,Medium,245
6550,Manhattan,155,1,193,Medium,37
8874,Manhattan,155,1,200,Medium,240
8873,Manhattan,155,1,201,Medium,240
8876,Manhattan,155,1,203,Medium,211
13767,Brooklyn,155,2,207,Medium,20
224,Manhattan,155,3,222,Medium,232
2719,Brooklyn,155,3,227,Medium,244
6292,Manhattan,155,1,242,Medium,238
35165,Brooklyn,154,2,12,Medium,19
6544,Manhattan,154,4,17,Medium,0
16393,Manhattan,154,2,23,Medium,4
27049,Brooklyn,154,3,26,Medium,341
9016,Manhattan,154,2,37,Medium,0
14892,Manhattan,154,3,78,Medium,17
13906,Brooklyn,154,3,123,Medium,289
18335,Brooklyn,154,2,143,Medium,269
696,Brooklyn,154,3,233,Medium,0
651,Manhattan,154,1,238,Medium,246
18110,Brooklyn,153,3,17,Medium,31
37099,Manhattan,153,1,25,Medium,32
21801,Brooklyn,153,3,28,Medium,11
712,Manhattan,153,31,59,Medium,27
19731,Brooklyn,153,3,64,Medium,277
9194,Manhattan,153,1,76,Medium,305
18551,Manhattan,153,3,82,Medium,0
10095,Manhattan,153,4,91,Medium,4
13446,Brooklyn,153,4,105,Medium,9
21895,Brooklyn,152,2,12,Medium,0
2372,Brooklyn,152,5,13,Medium,241
13093,Manhattan,152,3,16,Medium,0
1287,Brooklyn,152,2,23,Medium,365
23914,Manhattan,152,2,29,Medium,0
10472,Manhattan,152,1,39,Medium,157
13522,Manhattan,152,1,42,Medium,357
24991,Brooklyn,152,2,72,Medium,146
18750,Brooklyn,152,3,132,Medium,321
5618,Brooklyn,152,3,146,Medium,287
4108,Brooklyn,152,1,334,Medium,269
4583,Brooklyn,151,28,12,Medium,54
7376,Manhattan,151,7,12,Medium,0
31774,Brooklyn,151,3,12,Medium,0
19068,Brooklyn,151,2,13,Medium,188
28840,Manhattan,151,2,18,Medium,72
1045,Manhattan,151,88,19,Medium,249
9805,Manhattan,151,3,19,Medium,0
34742,Manhattan,151,6,22,Medium,56
43791,Manhattan,151,1,30,Medium,42
4341,Brooklyn,151,3,34,Medium,308
3266,Brooklyn,151,5,39,Medium,0
3465,Brooklyn,151,2,43,Medium,220
5359,Brooklyn,151,5,51,Medium,318
4920,Brooklyn,151,5,52,Medium,333
51,Manhattan,151,2,73,Medium,302
22325,Brooklyn,151,1,94,Medium,36
2543,Brooklyn,151,1,173,Medium,213
1306,Manhattan,151,2,214,Medium,256
45,Brooklyn,150,29,11,Medium,95
495,Brooklyn,150,2,11,Medium,0
860,Manhattan,150,2,11,Medium,2
1446,Manhattan,150,1,11,Medium,0
1869,Brooklyn,150,3,11,Medium,0
2115,Brooklyn,150,2,11,Medium,364
3216,Brooklyn,150,5,11,Medium,0
3820,Manhattan,150,1,11,Medium,0
5280,Manhattan,150,30,11,Medium,313
5343,Brooklyn,150,5,11,Medium,0
5457,Brooklyn,150,2,11,Medium,0
8588,Manhattan,150,4,11,Medium,319
9254,Brooklyn,150,4,11,Medium,8
9990,Brooklyn,150,30,11,Medium,332
10180,Manhattan,150,4,11,Medium,0
10659,Manhattan,150,5,11,Medium,0
10864,Manhattan,150,5,11,Medium,0
11446,Manhattan,150,2,11,Medium,0
11611,Brooklyn,150,2,11,Medium,0
14105,Manhattan,150,6,11,Medium,174
15215,Brooklyn,150,4,11,Medium,0
15326,Brooklyn,150,2,11,Medium,330
15345,Brooklyn,150,3,11,Medium,364
16407,Manhattan,150,2,11,Medium,0
16631,Manhattan,150,2,11,Medium,2
17537,Manhattan,150,2,11,Medium,212
19687,Brooklyn,150,4,11,Medium,0
19936,Manhattan,150,1,11,Medium,0
28449,Brooklyn,150,2,11,Medium,0
30631,Brooklyn,150,3,11,Medium,2
32275,Brooklyn,150,1,11,Medium,8
32879,Manhattan,150,4,11,Medium,3
34928,Manhattan,150,2,11,Medium,38
36451,Brooklyn,150,3,11,Medium,105
36467,Manhattan,150,1,11,Medium,177
36563,Manhattan,150,2,11,Medium,270
37174,Manhattan,150,1,11,Medium,356
37530,Manhattan,150,1,11,Medium,0
37984,Manhattan,150,3,11,Medium,49
41613,Manhattan,150,1,11,Medium,81
41754,Brooklyn,150,2,11,Medium,217
44226,Brooklyn,150,3,11,Medium,142
44352,Manhattan,150,30,11,Medium,40
857,Manhattan,150,7,12,Medium,0
3392,Manhattan,150,4,12,Medium,0
4546,Brooklyn,150,1,12,Medium,0
5741,Brooklyn,150,1,12,Medium,180
6643,Brooklyn,150,5,12,Medium,9
7789,Brooklyn,150,7,12,Medium,0
8608,Manhattan,150,3,12,Medium,38
8629,Brooklyn,150,5,12,Medium,0
9094,Manhattan,150,30,12,Medium,298
9241,Manhattan,150,4,12,Medium,0
11131,Brooklyn,150,4,12,Medium,0
11661,Brooklyn,150,3,12,Medium,0
11910,Manhattan,150,3,12,Medium,1
